source,target,inclusion_rate,in_graph
T11,E04,0.002,False
T14,V15,0.002,False
E02,S01,0.002,False
E04,S12,0.002,False
E05,S14,0.002,False
E06,V04,0.002,False
E08,S04,0.002,False
E08,S13,0.002,False
E08,V11,0.002,False
E09,E14,0.002,False
E14,S08,0.002,False
S01,V05,0.002,False
S08,S13,0.002,False
T01,E05,0.001,False
T01,V02,0.001,False
T01,V04,0.001,False
T01,V08,0.001,False
T02,T03,0.001,False
T04,E05,0.001,False
T04,S11,0.001,False
T05,S03,0.001,False
T05,V03,0.001,False
T06,T13,0.001,False
T06,E05,0.001,False
T07,E15,0.001,False
T07,V09,0.001,False
T08,S01,0.001,False
T09,T14,0.001,False
T10,V05,0.001,False
T14,E09,0.001,False
T14,E11,0.001,False
T15,S03,0.001,False
E01,V02,0.001,False
E01,V13,0.001,False
E03,E09,0.001,False
E05,S15,0.001,False
E06,S11,0.001,False
E08,V05,0.001,False
E13,S03,0.001,False
E13,V15,0.001,False
S08,V06,0.001,False
T01,S08,0,False
T01,S10,0,False
T02,T07,0,False
T02,S05,0,False
T04,T13,0,False
T07,E05,0,False
T07,S04,0,False
T09,V13,0,False
T14,E08,0,False
E12,S05,0,False
E13,V03,0,False
